code,drink,rice,spice,conv,fruit,other,nonfood,veget,meat,fish,tea,count,date
KH-0000000460,0,0,0,0,284769,0,0,0,0,0,0,100000,2020-7
KH-0000000461,0,0,0,426169,144275,0,0,0,0,0,28000,200000,2020-7
KH-0000000462,0,0,0,0,197130,0,0,0,0,0,0,100000,2020-7
KH-0000000463,0,0,0,0,65975,0,0,21890,0,0,0,100000,2020-7
KH-0000000464,0,225000,32000,26000,0,0,0,0,0,0,0,100000,2020-7
KH-0000000465,33000,0,0,117000,89320,0,20000,95435,0,0,0,200000,2020-7
KH-0000000466,62000,0,0,0,0,0,0,0,0,0,132800,100000,2020-7
KH-0000000467,111000,0,0,0,0,0,52000,13734,0,0,0,300000,2020-7
KH-0000000468,0,0,27000,0,0,0,0,0,0,0,16000,100000,2020-7
KH-0000000469,0,0,0,0,50032,0,0,24164,0,0,0,100000,2020-7
KH-0000000470,0,33000,0,0,0,0,0,0,0,0,370000,100000,2020-7
KH-0000000471,0,0,0,11286,0,0,0,0,0,0,0,100000,2020-7
KH-0000000472,0,0,0,0,305475,0,0,34624,0,0,0,200000,2020-7
KH-0000000473,0,56000,0,28248,0,0,0,14048,0,0,0,100000,2020-7
KH-0000000474,0,0,0,0,0,0,52000,0,0,0,0,100000,2020-7
KH-0000000475,0,66000,25000,38500,0,0,0,0,0,0,185000,200000,2020-7
KH-0000000476,0,0,0,59189,0,0,0,0,0,0,0,100000,2020-7
KH-0000000477,44000,0,0,75344,66870,0,0,0,0,0,0,100000,2020-7
KH-0000000478,198000,0,0,75000,166160,0,0,0,0,0,50000,100000,2020-7
KH-0000000479,0,0,0,0,230640,0,0,0,0,0,312000,100000,2020-7
KH-0000000480,0,0,0,0,1339620,0,0,0,0,0,0,200000,2020-7
KH-0000000481,0,34000,5100,198360,293186,102471,0,5632,0,0,0,600000,2020-7
KH-0000000482,0,0,0,0,0,0,0,0,0,0,0,100000,2020-7
KH-0000000483,0,0,0,0,834247,0,150000,0,0,0,0,100000,2020-7
KH-0000000484,0,0,20000,40000,0,0,0,25200,0,0,0,100000,2020-7
KH-0000000485,0,0,0,0,94848,0,0,0,0,0,0,100000,2020-7
KH-0000000486,0,0,0,0,61446,0,0,0,0,0,0,100000,2020-7
KH-0000000487,0,0,0,15000,0,94750,0,0,0,0,0,100000,2020-7
KH-0000000488,0,0,0,0,89725,0,0,54964,0,0,0,100000,2020-7
KH-0000000489,0,358900,0,0,0,0,0,4505,0,0,0,200000,2020-7
KH-0000000490,0,41000,0,0,0,0,0,0,0,0,39000,100000,2020-7
KH-0000000491,0,0,0,0,598400,0,0,0,0,0,0,100000,2020-7
KH-0000000492,0,0,0,15520,160196,0,0,7125,0,0,0,100000,2020-7
KH-0000000493,81000,121000,37000,0,44232,0,327000,25160,0,0,0,200000,2020-7
KH-0000000494,0,0,27000,23759,92850,0,0,37092,0,0,0,100000,2020-7
KH-0000000495,0,0,47000,60000,0,0,0,0,0,0,35000,100000,2020-7
KH-0000000496,0,0,0,0,128865,0,0,0,0,0,0,100000,2020-7
KH-0000000497,124000,0,27000,0,774086,0,0,78002,0,0,0,400000,2020-7
KH-0000000498,0,0,0,75000,182735,65750,0,78443,0,0,0,100000,2020-7
KH-0000000499,0,0,0,0,232275,0,28500,0,0,0,0,100000,2020-7
KH-0000000500,92000,0,0,76240,149155,39250,0,0,0,0,100000,200000,2020-7
KH-0000000501,0,0,118000,70000,63000,0,0,0,0,0,0,200000,2020-7
KH-0000000502,0,0,0,0,203215,0,0,0,0,0,120000,100000,2020-7
KH-0000000503,250260,74690,183330,0,0,0,0,0,0,0,460750,200000,2020-7
KH-0000000504,0,52000,40000,83000,0,0,0,0,0,0,0,100000,2020-7
KH-0000000505,0,0,0,0,180442,0,0,0,0,0,0,100000,2020-7
KH-0000000506,0,0,0,0,610749,0,0,0,0,0,0,100000,2020-7
KH-0000000507,0,177500,0,261900,354180,0,0,14550,0,0,0,200000,2020-7
KH-0000000508,0,0,0,0,935000,0,20000,0,0,0,0,300000,2020-7
KH-0000000509,0,0,0,60000,0,0,0,0,0,0,0,100000,2020-7
KH-0000000510,0,250000,0,0,0,0,10000,0,0,0,0,100000,2020-7
KH-0000000511,0,0,0,0,357968,0,0,75264,0,0,35000,300000,2020-7
KH-0000000512,0,0,0,0,362100,0,20000,0,0,0,0,100000,2020-7
KH-0000000513,0,0,0,146000,0,0,0,0,0,0,0,100000,2020-7
KH-0000000514,0,0,0,12000,174960,0,0,14592,0,0,0,100000,2020-7
KH-0000000515,0,330000,0,0,52300,0,0,0,0,0,0,100000,2020-7
KH-0000000516,0,0,145000,0,0,0,116000,0,0,0,0,100000,2020-7
KH-0000000517,0,0,0,102500,0,0,0,19152,0,0,0,100000,2020-7
KH-0000000518,11000,0,74000,92100,0,0,210000,0,0,0,30000,200000,2020-7
KH-0000000519,173400,105000,0,0,1004850,0,0,0,0,0,13000,200000,2020-7
KH-0000000520,0,0,0,0,639980,0,0,0,0,0,0,100000,2020-7
KH-0000000521,0,0,99000,15000,0,0,0,0,0,0,0,100000,2020-7
